"id","Expense_id","Expense_particular","Party","Total_amount","Paid_amount","Due_amount","Payment_date","Created_at","Updated_at"
2,1,"Fuel","Total Energies",0,0,0,"2022-03-01","2022-02-20 06:46:30",NULL
3,2,"Web Domain Charge","Hostgator",2037,2037,0,"2022-02-28","2022-03-01 11:35:36",NULL
4,2,"Outlet WiFi","Kemnet",2500,2500,0,"2022-02-21","2022-03-01 11:36:43",NULL
5,2,"Domain Registration and Web Hosting","Hostgator",5090.48,5090.48,0,"2022-02-02","2022-03-02 08:31:56",NULL
6,4,"Butcher Salary","Morris",3000,3000,0,"2022-03-03","2022-03-03 13:03:55",NULL
7,2,"Outlet Phone Airtime","Safaricom",500,500,0,"2022-03-05","2022-03-05 07:00:46",NULL
8,2,"Lunch","Maya Mini Mart",260,260,0,"2022-03-05","2022-03-05 07:01:31",NULL
9,2,"Dish Scrabber Bill","Maya Mini Mart",50,50,0,"2022-03-06","2022-03-06 07:39:50",NULL
10,1,"Morris transport from farm","Matatu",250,250,0,"2022-03-06","2022-03-07 06:16:51",NULL
11,2,"Maize Flour","Maya Mini Mart",130,130,0,"2022-02-28","2022-03-07 06:17:39",NULL
12,2,"Royco Purchase","Maya Mini Mart",10,10,0,"2022-03-07","2022-03-07 09:18:25",NULL
13,2,"Spinach Purchase","AS02 Grocery",40,40,0,"2022-03-07","2022-03-07 09:48:56",NULL
14,2,"Wooven bag","Chandarana Foodplus",10,10,0,"2022-03-08","2022-03-08 08:50:12",NULL
15,2,"Bar Soaps","Chandarana Foodplus",0,0,0,"2022-03-08","2022-03-08 08:50:49",NULL
16,2,"Powder Soap","Chandarana Foodplus",170,170,0,"2022-03-08","2022-03-08 08:52:19",NULL
17,2,"Dish Scrabber Bill","Chandarana Foodplus",220,220,0,"2022-03-08","2022-03-08 08:53:15",NULL
18,2,"Large Punnets (50 pcs) ","Asami Limited",420,420,0,"2022-03-09","2022-03-09 03:13:50",NULL
19,2,"Small Punnets (75 pcs)","Asami Limited",0,0,0,"2022-03-09","2022-03-09 03:14:31",NULL
20,2,"Polycated Packaging bags","Asami Limited",350,350,0,"2022-03-09","2022-03-09 03:15:56",NULL
21,1,"Fare to and from town","Matatu",170,170,0,"2022-03-09","2022-03-09 03:17:53",NULL
22,2,"Agita","Agrovet (Town)",300,300,0,"2022-03-09","2022-03-09 03:20:11",NULL
23,2,"Maize Flour Purchase","Maya Mini Mart",150,150,0,"2022-03-09","2022-03-09 06:12:17",NULL
24,5,"Vegetables Stock Purchase","Market",550,550,0,"2022-03-10","2022-03-10 04:21:10",NULL
25,1,"Moses transport to farm","Moses",50,50,0,"2022-03-10","2022-03-10 04:22:19",NULL
26,5,"Chicken Supply","Sympha Farm",4500,4500,0,"2022-03-10","2022-03-10 04:24:27",NULL
27,5,"Vegetables Stock Purchase","Market",1750,1750,0,"2022-03-12","2022-03-12 07:09:59",NULL
28,1,"Fuel for business errands","Total Energies",1000,1000,0,"2022-03-12","2022-03-12 07:11:30",NULL
29,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",20800,20800,0,"2022-03-12","2022-03-12 07:13:19",NULL
30,3,"Outlet Electricity","Kenya Power",800,800,0,"2022-03-03","2022-03-12 13:23:56",NULL
31,3,"Electricity","Kenya Power",0,0,0,"2022-03-12","2022-03-12 13:24:28",NULL
32,2,"Vegetables Stock Purchase","Market",2000,2000,0,"2022-03-13","2022-03-13 07:46:14",NULL
33,2,"Butcher Training","Patrick",500,500,0,"2022-03-13","2022-03-13 07:47:28",NULL
34,1,"Cashier Househelp Transport","Cashier Househelp",1200,1200,0,"2022-03-14","2022-03-14 00:54:04",NULL
35,4,"Cashier Rent","Cashier",1000,1000,0,"2022-03-14","2022-03-14 00:54:44",NULL
36,5,"Fish Stock Purchase","Victory Farms",7000,7000,0,"2022-03-14","2022-03-14 00:55:25",NULL
37,5,"Fish Stock Purchase","Victory Farms",4418,4418,0,"2022-03-14","2022-03-14 05:59:38",NULL
38,5,"Vegetables Stock Purchase","Market",1204,1204,0,"2022-03-14","2022-03-14 06:03:02",NULL
39,5,"Vegetables Stock Purchase","Huho Farm",1500,1500,0,"2022-03-14","2022-03-14 06:05:32",NULL
40,1,"Vegetables Stock Delivery","Zakayo",350,350,0,"2022-03-14","2022-03-14 09:29:12",NULL
41,1,"Cashier Transport","Motorcycle",100,100,0,"2022-03-14","2022-03-14 09:30:53",NULL
42,2,"Knives Sharpening","Knife Sharpener",100,100,0,"2022-03-14","2022-03-14 09:31:35",NULL
43,5,"Matumbo Purchase","Matumbo Delivery Guy",1500,1500,0,"2022-03-14","2022-03-14 09:32:25",NULL
