"id","Order_id","status","delivery_fee","delivery_time_left","Created_at","Updated_at"
6465643,2509,"delivered",0,20.5,"2022-04-13 04:52:27","0000-00-00 00:00:00"
6465644,2510,"delivered",0,15.95,"2022-04-13 04:58:47","0000-00-00 00:00:00"
6465647,2516,"delivered",0,-2.42,"2022-04-13 06:46:38","0000-00-00 00:00:00"
6465649,2525,"delivered",0,4.08,"2022-04-13 08:20:36","0000-00-00 00:00:00"
6465650,2526,"delivered",0,5.08,"2022-04-13 08:21:11","0000-00-00 00:00:00"
6465651,2527,"delivered",0,6.67,"2022-04-13 08:25:30","0000-00-00 00:00:00"
6465652,2527,"delivered",0,6.67,"2022-04-13 08:25:30","0000-00-00 00:00:00"
6465653,2527,"delivered",0,6.67,"2022-04-13 08:25:30","0000-00-00 00:00:00"
6465654,2579,"delivered",0,20.33,"2022-04-14 03:51:23","0000-00-00 00:00:00"
6465655,2585,"delivered",0,4.95,"2022-04-14 04:32:55","0000-00-00 00:00:00"
6465656,2585,"delivered",0,4.95,"2022-04-14 04:32:56","0000-00-00 00:00:00"
6465657,2587,"delivered",0,13.95,"2022-04-14 04:41:41","0000-00-00 00:00:00"
6465658,2592,"delivered",0,-326.77,"2022-04-14 05:44:50","0000-00-00 00:00:00"
6465659,2592,"delivered",0,-326.77,"2022-04-14 05:44:50","0000-00-00 00:00:00"
6465660,2592,"delivered",0,-326.77,"2022-04-14 05:44:50","0000-00-00 00:00:00"
6465661,2675,"delivered",0,24.73,"2022-04-15 09:43:11","0000-00-00 00:00:00"
6465662,2675,"delivered",0,24.73,"2022-04-15 09:43:12","0000-00-00 00:00:00"
6465663,2700,"delivered",0,-16.02,"2022-04-15 11:55:45","0000-00-00 00:00:00"
6465664,2700,"delivered",0,-16.02,"2022-04-15 11:55:45","0000-00-00 00:00:00"
6465665,2700,"delivered",0,-16.02,"2022-04-15 11:55:45","0000-00-00 00:00:00"
6465666,2700,"delivered",0,-16.02,"2022-04-15 11:55:45","0000-00-00 00:00:00"
6465667,2703,"delivered",0,19.68,"2022-04-15 12:39:56","0000-00-00 00:00:00"
6465668,2708,"delivered",0,6.03,"2022-04-15 13:01:22","0000-00-00 00:00:00"
6465669,2733,"delivered",0,-5.02,"2022-04-16 05:55:17","0000-00-00 00:00:00"
6465670,2737,"delivered",0,4.75,"2022-04-16 06:11:33","0000-00-00 00:00:00"
6465671,2737,"delivered",0,4.75,"2022-04-16 06:11:33","0000-00-00 00:00:00"
6465672,2737,"delivered",0,4.75,"2022-04-16 06:11:33","0000-00-00 00:00:00"
6465675,2738,"delivered",0,6.75,"2022-04-16 06:13:33","0000-00-00 00:00:00"
6465676,2738,"delivered",0,6.75,"2022-04-16 06:13:33","0000-00-00 00:00:00"
6465677,2765,"delivered",0,1.25,"2022-04-16 10:22:33","0000-00-00 00:00:00"
6465678,2766,"delivered",0,-22.88,"2022-04-16 10:29:59","0000-00-00 00:00:00"
6465679,2767,"delivered",0,14.25,"2022-04-16 10:35:19","0000-00-00 00:00:00"
6465680,2769,"delivered",0,-11.88,"2022-04-16 10:40:40","0000-00-00 00:00:00"
6465681,2771,"delivered",0,22.25,"2022-04-16 10:43:03","0000-00-00 00:00:00"
6465683,2799,"delivered",0,17.47,"2022-04-16 12:41:40","0000-00-00 00:00:00"
6465684,2799,"delivered",0,17.47,"2022-04-16 12:41:40","0000-00-00 00:00:00"
6465688,2802,"delivered",0,-6.17,"2022-04-16 12:56:50","0000-00-00 00:00:00"
6465689,2805,"delivered",0,-11,"2022-04-17 06:23:50","0000-00-00 00:00:00"
6465690,2834,"delivered",0,-18.7,"2022-04-17 07:39:15","0000-00-00 00:00:00"
6465691,2845,"delivered",0,0.18,"2022-04-17 08:23:32","0000-00-00 00:00:00"
6465692,2846,"delivered",0,9.18,"2022-04-17 08:32:12","0000-00-00 00:00:00"
6465693,2846,"delivered",0,9.18,"2022-04-17 08:32:12","0000-00-00 00:00:00"
6465694,2870,"delivered",0,6.62,"2022-04-17 11:35:06","0000-00-00 00:00:00"
6465695,2873,"delivered",0,-20.52,"2022-04-17 11:51:00","0000-00-00 00:00:00"
6465696,2873,"delivered",0,-20.52,"2022-04-17 11:51:00","0000-00-00 00:00:00"
6465697,2873,"delivered",0,-20.52,"2022-04-17 11:51:00","0000-00-00 00:00:00"
6465698,2875,"delivered",0,8.27,"2022-04-17 11:52:56","0000-00-00 00:00:00"
6465699,2879,"delivered",0,-8.75,"2022-04-17 12:42:46","0000-00-00 00:00:00"
6465700,2883,"delivered",0,16.25,"2022-04-17 13:07:43","0000-00-00 00:00:00"
6465701,2883,"delivered",0,16.25,"2022-04-17 13:07:44","0000-00-00 00:00:00"
6465702,2884,"delivered",0,15.88,"2022-04-17 13:32:44","0000-00-00 00:00:00"
6465703,2884,"delivered",0,15.88,"2022-04-17 13:32:44","0000-00-00 00:00:00"
6465704,2884,"delivered",0,15.88,"2022-04-17 13:32:44","0000-00-00 00:00:00"
6465705,2884,"delivered",0,15.88,"2022-04-17 13:32:44","0000-00-00 00:00:00"
6465706,3080,"delivered",0,-1.03,"2022-04-21 02:23:01","0000-00-00 00:00:00"
6465707,3083,"delivered",0,18.77,"2022-04-21 03:18:10","0000-00-00 00:00:00"
6465708,3103,"delivered",0,-5.72,"2022-04-21 07:37:26","0000-00-00 00:00:00"
6465709,3145,"delivered",0,-12.35,"2022-04-22 03:11:25","0000-00-00 00:00:00"
6465710,3148,"delivered",0,-2.35,"2022-04-22 03:21:11","0000-00-00 00:00:00"
6465711,3161,"delivered",0,-46.5,"2022-04-22 06:50:06","0000-00-00 00:00:00"
6465712,3171,"delivered",0,-20.07,"2022-04-22 09:13:11","0000-00-00 00:00:00"
6465717,3205,"delivered",0,10.58,"2022-04-22 12:22:14","0000-00-00 00:00:00"
6465718,3219,"delivered",0,0.1,"2022-04-23 05:01:01","0000-00-00 00:00:00"
6465719,3219,"delivered",0,0.1,"2022-04-23 05:01:01","0000-00-00 00:00:00"
6465720,3222,"delivered",0,12.83,"2022-04-23 05:33:31","0000-00-00 00:00:00"
6465721,3225,"delivered",0,2.15,"2022-04-23 06:22:33","0000-00-00 00:00:00"
6465722,3285,"delivered",0,8.12,"2022-04-24 09:13:43","0000-00-00 00:00:00"
6465723,3286,"delivered",0,14.12,"2022-04-24 09:19:15","0000-00-00 00:00:00"
6465724,3292,"delivered",0,-2.45,"2022-04-24 09:44:51","0000-00-00 00:00:00"
6465725,3292,"delivered",0,-2.45,"2022-04-24 09:44:51","0000-00-00 00:00:00"
6465726,3293,"delivered",0,6.55,"2022-04-24 09:53:51","0000-00-00 00:00:00"
6465727,3293,"delivered",0,6.55,"2022-04-24 09:53:51","0000-00-00 00:00:00"
6465728,3300,"delivered",0,0.23,"2022-04-24 10:43:08","0000-00-00 00:00:00"
6465729,3300,"delivered",0,0.23,"2022-04-24 10:43:08","0000-00-00 00:00:00"
6465732,3322,"delivered",0,-1.12,"2022-04-24 12:26:10","0000-00-00 00:00:00"
6465733,3322,"delivered",0,-1.12,"2022-04-24 12:26:10","0000-00-00 00:00:00"
