"id","Category_id","Supplier_id","Name","image","Unit_id","Subunit_id","Contains","subunit_replenish_qty","Buying_price","Discount","Price","Opening_stock","Quantity","Restock_Level","Created_at","Updated_at"
18,4,3,"Beef Whole Kg(s)","1645802086.png",10,1,0,0,440,0,600,46.36,0.101651,5,"2022-02-25 09:14:46","2023-06-11 12:38:51"
19,4,3,"Beef Rib-Eye.","1645802796.png",10,1,0,0,400,0,500,0,0,2,"2022-02-25 09:26:36","2022-09-01 02:08:23"
20,4,3,"Top Side Steak","1645802888.png",10,1,0,0,400,0,600,0,0,2,"2022-02-25 09:28:08","2022-09-01 02:08:20"
21,4,3,"Silver Side Steak","1645803081.png",10,1,0,0,400,0,600,0,0,2,"2022-02-25 09:31:21","2022-09-01 02:08:15"
22,4,3,"Beef Rump Steak","1645803195.png",10,1,0,0,400,0,600,0,0,20,"2022-02-25 09:33:15","2023-01-10 14:24:25"
23,4,3,"Meat On Bone Kg(s)","1645803264.png",10,1,0,0,450,0,600,0,13.8957,5,"2022-02-25 09:34:24","2023-06-13 13:19:10"
24,4,3,"Beef Top Rump.","1645803412.png",10,1,0,0,400,0,600,0,0,2,"2022-02-25 09:36:52","2022-09-01 02:08:13"
25,4,3,"Regular Minced Meat","1645803526.png",10,1,0,0,320,0,700,0,29.3279,5,"2022-02-25 09:38:46","2023-06-13 12:51:18"
26,4,3,"Lean Minced Meat","1645803581.png",10,1,0,0,400,0,700,0,0.06,2,"2022-02-25 09:39:41","2023-01-15 03:59:54"
27,4,3,"Beef Bones Kg(s)","1645803667.png",10,1,0,0,100,0,150,0,1.35834,0,"2022-02-25 09:41:07","2023-06-13 06:13:50"
28,4,3,"Beef Osso Buco","1645803784.png",10,1,0,0,400,0,550,0,0,0,"2022-02-25 09:43:04","2022-09-01 02:07:51"
29,4,3,"T-Bone Steak.","1645804052.png",10,1,0,0,400,0,660,0,0,2,"2022-02-25 09:47:32","2022-09-02 14:48:46"
30,4,3,"Beef Fillet Steak","1645804156.png",10,1,0,0,400,0,700,0,0,1,"2022-02-25 09:49:16","2022-02-28 04:34:34"
37,1,1,"Chicken Capon","1645810764.png",10,1,0,0,410,0,470,70.22,4.20011,0,"2022-02-25 11:39:24","2023-06-13 13:05:23"
38,3,4,"Tomatoes Kg(s)","1645814176.png",10,1,0,0,50,0,120,16,47.6974,3,"2022-02-25 12:36:16","2023-06-13 13:19:10"
42,1,1,"Chicken Gizzards","1645814372.png",10,1,0,0,150,0,450,0,139.24,3,"2022-02-25 12:39:32","2023-06-02 11:03:57"
43,1,1,"Chicken Liver.","1645814438.png",10,1,0,0,197,0,250,0,0.816,2,"2022-02-25 12:40:38","2023-06-13 10:33:59"
45,3,5,"Capsicum(s) (Big)","1645814964.png",13,1,0,0,10,0,25,54,0.599999,3,"2022-02-25 12:49:24","2023-04-24 08:34:59"
47,3,5,"Cabbage Pieces","1645815210.png",13,1,0,0,60,0,120,7,3.15595,1,"2022-02-25 12:53:30","2023-06-13 10:13:01"
48,3,1,"Ginger (Small) Pieces","1645815437.png",13,1,0,0,5,0,10,0,0,2,"2022-02-25 12:57:17","2023-06-05 09:45:52"
49,3,1,"Ginger (Big) Pieces","1645815522.png",13,1,0,0,10,0,20,0,17.5,2,"2022-02-25 12:58:42","2023-06-13 06:40:53"
50,1,1,"Eggs Tray(s).","1645819483.png",15,16,30,0,4,0,15,0,0,3,"2022-02-25 14:04:43","2022-09-01 02:06:46"
51,3,1,"Sukuma Wiki (Kales)","1645819557.png",17,1,0,0,10,0,20,0,16,0,"2022-02-25 14:05:57","2023-06-13 13:19:10"
52,1,1,"Chicken Capons - 1.1 Kg Pieces","1645819683.png",13,1,0,0,297,0,450,0,0,10,"2022-02-25 14:08:03","2022-02-25 14:11:05"
53,1,1,"Chicken Capons - 1.2 Kgs Pieces","1645819807.png",13,1,0,0,297,0,550,0,26,20,"2022-02-25 14:10:07","2022-03-04 05:57:27"
54,5,6,"Non-Wooven Bag","1645820207.png",13,1,0,0,5,0,10,400,20,30,"2022-02-25 14:16:47","2023-06-10 13:19:38"
55,3,1,"Courgette(s)","1645820462.png",10,1,0,0,6,0,10,0,0,2,"2022-02-25 14:21:02","2023-02-12 12:01:05"
58,4,3,"Muaty Rib Kg(s)","1645862724.png",10,1,0,0,400,0,500,0,0,2,"2022-02-26 02:05:24","2022-09-01 02:06:36"
59,4,3,"Ox Tail Kilogram(s)","1645867494.png",10,1,0,0,400,0,500,0,2.752,2,"2022-02-26 03:24:54","2023-06-06 10:57:41"
60,1,1,"Chicken Capon - Big (Delta)","1645897650.png",13,1,0,0,297,0,550,1,0,2,"2022-02-26 11:47:30","2022-03-19 07:42:51"
61,3,5,"Capsicum(s) (Small)","1645934581.png",13,1,0,0,5,0,10,10,0,0,"2022-02-26 22:03:01","2023-05-10 09:36:49"
62,4,1,"Liver Kilogram(s)","1646047631.png",10,1,0,0,420,0,650,5,6.35097,2,"2022-02-28 05:27:11","2023-06-13 13:00:40"
